time_s,err_mag,err_x,err_y,err_z
7.415,3.291115,2.34998,2.039613,1.071921
7.514,3.291337,2.350064,2.040371,1.070973
7.611,3.292099,2.350459,2.041474,1.070346
7.715,3.292843,2.350973,2.04208,1.070352
7.811,3.293768,2.351685,2.042699,1.070453
7.912,3.294809,2.352727,2.043054,1.07069
8.013,3.295796,2.353786,2.043365,1.070803
8.115,3.296491,2.354624,2.043397,1.071039
8.217,3.297165,2.355321,2.043222,1.071916
8.318,3.298333,2.35648,2.042972,1.073435
8.416,3.298948,2.357029,2.042714,1.074612
8.524,3.300012,2.357917,2.042596,1.076155
8.626,3.301316,2.359006,2.042572,1.07781
8.716,3.302439,2.359924,2.042563,1.079259
8.828,3.303355,2.361574,2.041881,1.079742
8.916,3.302927,2.362646,2.040696,1.078325
9.014,3.301053,2.363692,2.038125,1.075156
9.116,3.297109,2.364267,2.033809,1.069948
9.216,3.291518,2.364278,2.027937,1.063837
9.323,3.28329,2.363762,2.01946,1.055654
9.426,3.274461,2.362648,2.01051,1.047776
9.515,3.265504,2.361165,2.00168,1.040044
9.62,3.254624,2.359239,1.990531,1.031676
9.721,3.242767,2.356769,1.9783,1.023479
9.823,3.229354,2.353941,1.963921,1.015235
9.927,3.21675,2.351311,1.950029,1.008071
10.029,3.204198,2.348494,1.935919,1.001838
10.118,3.192297,2.345734,1.922331,0.996463
10.221,3.178508,2.342099,1.906876,0.990612
10.326,3.163787,2.340507,1.886301,0.986633
10.43,3.148285,2.335428,1.869506,0.98103
10.525,3.132518,2.330019,1.852927,0.974855
10.623,3.116795,2.324941,1.835451,0.969629
10.72,3.101364,2.318742,1.820413,0.963324
10.823,3.083358,2.312001,1.801308,0.957621
10.925,3.066142,2.304723,1.784244,0.951815
11.03,3.048379,2.296989,1.767112,0.945395
11.126,3.031032,2.289174,1.750561,0.939346
11.227,3.013507,2.281523,1.733891,0.932469
11.324,2.996103,2.273617,1.717551,0.925914
11.421,2.978951,2.265869,1.701408,0.919345
11.521,2.961822,2.25754,1.685733,0.913349
11.626,2.944645,2.249217,1.670199,0.906859
11.732,2.92612,2.239961,1.653578,0.900239
11.826,2.910868,2.232468,1.639426,0.895278
11.925,2.893781,2.223142,1.625061,0.889262
12.025,2.876439,2.213828,1.610075,0.883473
12.125,2.859285,2.204657,1.595127,0.877819
12.226,2.841336,2.194644,1.580256,0.871505
12.327,2.823955,2.185013,1.565683,0.86549
12.436,2.803979,2.1735,1.54953,0.858577
12.525,2.78792,2.163753,1.537209,0.85303
12.631,2.768122,2.151929,1.521676,0.846287
12.725,2.751506,2.141317,1.509721,0.840409
12.847,2.735507,2.131189,1.497821,0.835204
12.928,2.714779,2.117832,1.482879,0.828181
13.035,2.701768,2.109555,1.473332,0.823785
13.141,2.67807,2.093418,1.457412,0.81585
13.225,2.656458,2.078634,1.443119,0.808367
13.333,2.634054,2.062809,1.428701,0.801168
13.434,2.613357,2.047638,1.416419,0.794085
13.53,2.595113,2.034525,1.40483,0.788526
13.629,2.574542,2.019242,1.392646,0.781963
13.735,2.552586,2.002724,1.379389,0.775938
13.827,2.535053,1.989114,1.369386,0.771169
13.936,2.515422,1.97363,1.358582,0.765761
14.037,2.494439,1.956837,1.347747,0.759337
14.134,2.474465,1.940762,1.33754,0.753263
14.229,2.456467,1.92542,1.32933,0.748245
14.335,2.434196,1.906783,1.318795,0.741803
14.431,2.416309,1.891709,1.310032,0.737428
14.534,2.395876,1.874066,1.301293,0.731256
14.642,2.375274,1.856441,1.292232,0.725045
14.738,2.352621,1.836676,1.28285,0.718154
14.861,2.338415,1.824074,1.277334,0.713691
14.94,2.313359,1.801641,1.267866,0.705858
15.032,2.297161,1.786777,1.261975,0.701284
15.135,2.272875,1.765151,1.251446,0.695761
15.238,2.250825,1.744063,1.24417,0.690289
15.774,2.24469,1.738446,1.24165,0.689016
15.779,2.182215,1.678108,1.221259,0.674199
15.885,2.119874,1.618381,1.202057,0.655566
15.984,2.099038,1.59829,1.196453,0.64802
16.085,2.078721,1.578061,1.191716,0.640796
16.181,2.058505,1.558058,1.187125,0.632956
16.284,2.041425,1.542662,1.180367,0.627967
16.385,2.020002,1.52162,1.174843,0.620341
16.489,2.001217,1.504425,1.168002,0.614285
16.582,1.98307,1.488976,1.159606,0.608961
16.682,1.967265,1.476892,1.15011,0.60512
16.785,1.948309,1.463711,1.137991,0.598692
16.887,1.931881,1.454132,1.124628,0.594035
16.989,1.915416,1.446325,1.109143,0.588868
17.099,1.899282,1.44002,1.092489,0.583165
17.186,1.884303,1.436894,1.072513,0.579355
17.297,1.868659,1.432437,1.055104,0.571635
17.384,1.853696,1.430219,1.03493,0.565318
17.483,1.839074,1.429162,1.013509,0.559007
17.585,1.825257,1.429422,0.990979,0.553423
17.685,1.811286,1.429553,0.968145,0.547567
17.787,1.796963,1.429229,0.945508,0.540737
17.884,1.783313,1.430177,0.920978,0.53535
17.984,1.769184,1.429926,0.897498,0.528982
18.085,1.755561,1.430713,0.871881,0.524289
18.185,1.741675,1.430348,0.847647,0.518683
18.283,1.727404,1.429819,0.82225,0.513272
18.395,1.711887,1.42902,0.794674,0.506905
18.484,1.698425,1.427377,0.772095,0.501108
18.593,1.684908,1.427618,0.743598,0.497879
18.685,1.67265,1.426302,0.721196,0.493253
18.792,1.657351,1.424124,0.693429,0.48769
18.888,1.645383,1.42302,0.669553,0.483734
18.994,1.630344,1.420314,0.642124,0.477921
19.095,1.617197,1.418237,0.616851,0.47268
19.188,1.606826,1.416321,0.597035,0.468478
19.288,1.594243,1.413891,0.572174,0.463831
19.387,1.581238,1.410832,0.547654,0.458192
19.497,1.571907,1.409202,0.527284,0.454986
19.595,1.555284,1.404669,0.495027,0.448067
19.699,1.542915,1.400933,0.467442,0.446623
19.797,1.527914,1.395079,0.443592,0.437609
19.905,1.513334,1.389166,0.416776,0.432082
20.008,1.500873,1.384254,0.391995,0.427551
20.103,1.489641,1.379535,0.369857,0.423224
20.196,1.477523,1.374247,0.344877,0.419023
20.295,1.464401,1.367314,0.321703,0.414041
20.395,1.452358,1.360938,0.298261,0.410162
20.493,1.439494,1.353484,0.275546,0.40534
20.596,1.426782,1.345735,0.253097,0.400808
20.694,1.414688,1.338195,0.230833,0.396602
20.794,1.401801,1.329433,0.209802,0.391964
20.898,1.389482,1.32091,0.189173,0.387388
20.993,1.376912,1.311592,0.170178,0.382949
21.097,1.364267,1.301835,0.151795,0.378693
21.194,1.351258,1.291209,0.134258,0.375038
21.293,1.338379,1.280481,0.119121,0.370723
21.395,1.32452,1.268486,0.105366,0.366325
21.496,1.310736,1.256245,0.093234,0.362195
21.598,1.295667,1.242484,0.081966,0.358148
21.693,1.280887,1.228755,0.071645,0.354543
21.795,1.266053,1.214661,0.061444,0.35173
21.894,1.249213,1.199046,0.053701,0.346319
22.008,1.23285,1.183341,0.042437,0.343254
22.104,1.216737,1.168224,0.034092,0.338437
22.203,1.2014,1.153632,0.024994,0.334471
22.373,1.193697,1.146363,0.020574,0.332174
22.404,1.169578,1.123646,0.0072,0.324469
22.574,1.157439,1.11246,0.001733,0.319522
22.6,1.136834,1.093062,-0.010918,0.312233
22.782,1.128516,1.084874,-0.01854,0.310248
22.8,1.10632,1.06389,-0.033139,0.301633
22.986,1.094765,1.053129,-0.040186,0.296334
23.005,1.073611,1.033107,-0.052727,0.287315
23.192,1.061115,1.021193,-0.060863,0.281827
23.205,1.042993,1.003299,-0.073955,0.275236
23.4,1.02892,0.989506,-0.082652,0.269672
23.403,1.010433,0.971579,-0.091205,0.262091
23.601,0.99534,0.957205,-0.09612,0.255386
23.603,0.975085,0.936904,-0.104647,0.249098
23.808,0.96063,0.922056,-0.111334,0.245413
23.813,0.939276,0.900677,-0.118843,0.238532
24.01,0.924757,0.886023,-0.12395,0.234042
24.02,0.90134,0.862274,-0.131643,0.227084
24.216,0.887618,0.847938,-0.137235,0.22368
24.223,0.865547,0.82556,-0.144222,0.216384
24.422,0.850163,0.809975,-0.148984,0.211
24.431,0.827073,0.786021,-0.157607,0.203424
24.629,0.81292,0.770447,-0.165646,0.199532
24.634,0.792094,0.749239,-0.17266,0.190374
24.733,0.774811,0.730768,-0.180615,0.183546
24.834,0.755325,0.711026,-0.186125,0.174116
24.933,0.737186,0.691951,-0.192498,0.166107
25.033,0.71959,0.673164,-0.198153,0.159357
25.144,0.699812,0.652104,-0.203513,0.15192
25.234,0.682268,0.634039,-0.206133,0.144888
25.333,0.664242,0.61489,-0.209277,0.139036
25.444,0.644579,0.593887,-0.21206,0.133458
25.534,0.626412,0.575749,-0.211646,0.126928
25.643,0.605974,0.554658,-0.211915,0.12104
25.736,0.589277,0.537801,-0.21097,0.116227
25.841,0.569125,0.517941,-0.208884,0.109576
25.941,0.549072,0.498642,-0.205572,0.102842
26.041,0.528879,0.479397,-0.201396,0.096595
26.145,0.508282,0.460096,-0.196236,0.090296
26.251,0.483581,0.43721,-0.189505,0.082373
26.348,1.959581,1.420158,0.815407,1.076205
26.451,1.944147,1.401267,0.820512,1.069073
26.555,1.929184,1.382618,0.8249,1.062852
26.637,1.914574,1.364874,0.82851,1.056543
26.743,1.896471,1.343097,0.831682,1.049284
26.844,1.878787,1.322556,0.832856,1.042611
26.945,1.860278,1.30147,0.832441,1.036269
27.045,1.841034,1.27983,0.830687,1.030244
27.14,1.820969,1.257695,0.827639,1.024278
27.244,1.800184,1.235143,0.823334,1.018432
27.344,1.77835,1.211969,0.817737,1.012406
27.444,1.755859,1.188689,0.810802,1.006309
27.544,1.732663,1.165108,0.803025,0.999898
27.642,1.70856,1.141244,0.793978,0.993146
27.743,1.684162,1.117016,0.784316,0.986674
27.846,1.659537,1.092877,0.774006,0.980101
27.947,1.635057,1.068936,0.763156,0.973849
28.047,1.611144,1.045458,0.752032,0.968117
28.143,1.587078,1.022061,0.740223,0.962433
28.255,1.560968,0.996213,0.726642,0.95717
28.343,1.539956,0.974794,0.715394,0.953652
28.443,1.516816,0.950754,0.702954,0.950081
28.544,1.494036,0.926318,0.691149,0.946779
28.644,1.472171,0.901783,0.680056,0.944244
28.753,1.448402,0.87414,0.668761,0.941545
28.843,1.429296,0.851054,0.660374,0.939415
28.954,1.407011,0.822279,0.651497,0.937598
29.051,1.387341,0.79558,0.64437,0.936245
29.15,1.368676,0.768491,0.638431,0.935468
29.254,1.35008,0.740709,0.633419,0.934262
29.351,1.333456,0.715265,0.629603,0.932792
29.447,1.314819,0.686686,0.626014,0.930224
29.553,1.294384,0.655823,0.622108,0.926449
29.654,1.276154,0.628662,0.618378,0.922476
29.754,1.257737,0.602784,0.613566,0.917654
29.85,1.23968,0.579137,0.60738,0.912412
29.955,1.222153,0.558194,0.599257,0.907176
30.054,1.204888,0.539985,0.58897,0.901823
30.153,1.1882,0.524621,0.577069,0.896428
30.253,1.171486,0.51191,0.562943,0.890743
30.35,1.158539,0.503603,0.550498,0.886312
30.455,1.139696,0.493771,0.530023,0.879871
30.555,1.12528,0.487818,0.511898,0.875356
30.65,1.113594,0.484171,0.495258,0.872003
30.757,1.102177,0.482134,0.476467,0.869091
30.859,1.091334,0.482102,0.455206,0.866819
30.96,1.082238,0.483734,0.434815,0.864972
31.067,1.073939,0.486009,0.415594,0.862799
31.162,1.062086,0.48947,0.387744,0.859127
31.26,1.052171,0.491825,0.365261,0.855427
31.353,1.04174,0.493416,0.34164,0.851496
31.452,1.028732,0.494611,0.311792,0.846425
31.551,1.01627,0.494507,0.28427,0.841106
31.66,1.002341,0.493034,0.254389,0.8348
31.755,0.991033,0.4905,0.230356,0.829754
31.859,0.977379,0.485665,0.20253,0.823639
31.953,0.965389,0.479811,0.180838,0.817958
32.052,0.952025,0.471489,0.158533,0.811737
32.156,0.938515,0.46122,0.137911,0.805648
32.259,0.923548,0.447462,0.117676,0.799294
32.362,0.90985,0.432931,0.101382,0.7938
32.453,0.897013,0.418021,0.088562,0.7887
32.571,0.880832,0.398002,0.075299,0.78217
32.656,0.867376,0.379939,0.066653,0.776881
32.767,0.851288,0.356799,0.059146,0.770641
32.863,0.836343,0.334481,0.054868,0.764579
32.962,0.822061,0.311194,0.052721,0.759055
33.064,0.8071,0.28626,0.051911,0.752842
33.156,0.794419,0.263566,0.052594,0.747575
33.264,0.777829,0.234014,0.05388,0.739833
33.365,0.763019,0.20679,0.05535,0.732374
33.468,0.751413,0.185188,0.056427,0.726046
33.565,0.734365,0.153447,0.056948,0.715893
33.662,0.720591,0.128102,0.055978,0.7069
33.759,0.707322,0.104045,0.054084,0.697534
33.863,0.694382,0.081052,0.051262,0.687727
33.963,0.682115,0.059371,0.048138,0.677819
34.066,0.67038,0.038717,0.044734,0.667764
34.164,0.659784,0.019269,0.040903,0.658233
34.262,0.650395,0.001255,0.036948,0.649343
34.363,0.642242,-0.015287,0.032748,0.641224
34.462,0.634745,-0.029733,0.028606,0.633402
34.564,0.628511,-0.041855,0.024628,0.626632
34.673,0.622326,-0.05246,0.020856,0.61976
34.763,0.618035,-0.058583,0.018103,0.614985
34.863,0.614049,-0.062106,0.015637,0.6107
34.961,0.611304,-0.06209,0.014198,0.607977
35.064,0.607661,-0.057169,0.013289,0.60482
35.163,0.604179,-0.049603,0.013506,0.601988
35.264,0.60104,-0.039414,0.014566,0.59957
35.363,0.5977,-0.028302,0.015866,0.596819
35.461,0.594935,-0.017324,0.017482,0.594426
35.566,0.591303,-0.00343,0.019695,0.590965
35.67,0.588247,0.009406,0.021953,0.587762
35.768,0.584505,0.022157,0.024097,0.583587
35.873,0.5801,0.033954,0.026275,0.578509
35.974,0.574566,0.044482,0.02829,0.572143
36.08,0.568049,0.05409,0.030216,0.56466
36.178,0.561427,0.060924,0.031571,0.557218
36.265,0.555065,0.065308,0.032386,0.550258
36.37,0.547181,0.068633,0.033001,0.541856
36.472,0.540322,0.070235,0.033271,0.534704
36.572,0.534172,0.071307,0.033673,0.528319
36.673,0.528744,0.071886,0.034001,0.52273
36.773,0.523865,0.071511,0.033959,0.517849
36.873,0.518714,0.069945,0.033181,0.512904
36.972,0.513733,0.066962,0.031572,0.508371
37.073,0.508866,0.061954,0.029192,0.504237
37.169,0.504374,0.055947,0.026142,0.500579
37.274,0.500395,0.049057,0.022728,0.497465
37.372,0.497029,0.041825,0.019078,0.494899
37.473,2.836114,-1.965428,-1.98452,0.492253
37.572,2.842736,-1.972206,-1.987907,0.489672
37.672,2.848111,-1.977837,-1.990554,0.487436
37.776,2.851406,-1.981872,-1.991848,0.485013
37.873,2.851509,-1.983301,-1.991191,0.482474
37.973,2.848352,-1.982457,-1.988253,0.479399
38.073,2.841527,-1.979038,-1.982762,0.475749
38.175,2.83148,-1.973503,-1.974865,0.471671
38.273,2.818321,-1.965799,-1.964767,0.467176
38.375,2.801971,-1.955968,-1.952304,0.462321
38.472,2.782792,-1.943975,-1.938064,0.456949
38.586,2.758645,-1.928285,-1.920533,0.45099
38.671,2.736801,-1.913586,-1.905182,0.445588
38.774,2.71339,-1.897782,-1.888811,0.43966
38.872,2.682583,-1.876431,-1.86773,0.432252
38.972,2.652889,-1.855497,-1.847767,0.425098
39.074,2.622435,-1.833668,-1.827564,0.418132
39.172,2.591093,-1.810969,-1.806991,0.411015
39.273,2.559629,-1.788186,-1.786365,0.403724
39.379,2.524404,-1.76247,-1.763264,0.396502
39.482,2.493064,-1.739782,-1.742663,0.389424
39.577,2.464745,-1.719142,-1.724131,0.383266
39.682,2.428828,-1.692396,-1.700875,0.376864
39.782,2.396437,-1.668132,-1.68,0.371277
39.88,2.363684,-1.643261,-1.659074,0.366287
39.978,2.330594,-1.618129,-1.637864,0.361563
40.083,2.297818,-1.592691,-1.617327,0.357153
40.182,2.264867,-1.5668,-1.596951,0.352857
40.274,2.234908,-1.542923,-1.578723,0.349051
40.387,2.201671,-1.516356,-1.558619,0.344567
40.479,2.168147,-1.489012,-1.538711,0.340695
40.583,2.131553,-1.459359,-1.516954,0.335623
